site,SampleID,init_green_wt,Species.Code,block,termite_treatment_abbreviation,harvest,deployment_date,harvest_date,insect_present,termite_present,fungi_present,soil_present,root_present,fire_present_2021,fire_present_2019,Termite_Class,Fungi_Class,Fire_Class,Field_fresh_wt,Collar,fresh_volume,FW_Wood,Lab_As.,FW_Excess,FW_Carton,FW_Soil,Sawdust_FW,Post_drill_FW,DW_Wood,DW_Excess,DW_Carton,DW_Soil,damage_bag,init_drywt_fraction,termite.attack,season_condition,months,date_diff,station,dry.wet,init_dry_wt,harvest_dry_wt,mass.loss,pro.mass.loss,pct.mass.rem
DRO,401,261.27,DYPA,C,TI,1,2018-06-06,2019-06-19,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.26,164.39,1,0,NA,NA,4.97,156.77,103.75,NA,NA,NA,NA,0.537652108357073,0,WET,12,378,DRO.DYPA.C,0.661797537794221,140.472366350453,108.792897237992,31.6794691124606,0.225521004134195,77.4478995865805
DRO,402,267.66,DYPA,C,TE,5,2018-06-06,2021-06-07,1,0,1,1,1,0,NA,0,2,0,169.44,5,0.25,144.22,2A,11.42,0,0,9.24,134.96,65.74,4.99,0,0,F,0.537652108357073,0,WET,36,1097,DRO.DYPA.C,0.4871072910492,143.907963322854,70.2506135151156,73.6573498077387,0.511836510690448,48.8163489309552
DRO,403,271.34,DYPA,D,TI,6,2018-06-06,2021-12-07,0,0,1,0,1,NA,NA,0,2,0,113.81,5,0.24,85.28,2A,4.94,0,0,3.3555,77.1,56.834,2.174,NA,NA,NA,0.537652108357073,0,DRY,42,1280,DRO.DYPA.D,0.737146562905318,145.886523081608,62.8638588845655,83.0226641970427,0.5690907044964,43.09092955036
DRO,404,282.87,DYPA,D,TE,6,2018-06-06,2021-12-07,0,0,1,1,1,NA,NA,0,2,0,131.69,5,0.3,92.97,2A,9.32,0,0,3.4217,86.3,66.394,7.114,NA,NA,NA,0.537652108357073,0,DRY,42,1280,DRO.DYPA.D,0.769339513325608,152.085651890965,71.5254945538818,80.5601573370835,0.529702548106507,47.0297451893493
DRO,405,296.45,DYPA,A,TI,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,195.94,1,0,NA,NA,3.72,189.72,118.67,NA,NA,NA,NA,0.537652108357073,0,WET,12,378,DRO.DYPA.A,0.62550073792958,159.386967522454,122.560614589922,36.8263529325323,0.231049962898279,76.8950037101721
DRO,406,304.84,DYPA,A,TE,2,2018-06-06,2019-12-03,0,0,1,NA,1,NA,NA,NA,NA,NA,130.82,5,0.28,132.86,2,4.81,NA,NA,3.54,128.44,101.31,4.36,NA,NA,NA,0.537652108357073,0,DRY,18,545,DRO.DYPA.A,0.788772967922766,163.89786871157,104.796376518219,59.1014921933516,0.360599516381505,63.9400483618495
DRO,407,308.29,DYPA,B,TI,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,202.49,1,0,NA,NA,4.25,197.39,130.94,NA,NA,NA,NA,0.537652108357073,0,WET,12,378,DRO.DYPA.B,0.663356806322509,165.752768485402,134.323119712245,31.4296487731573,0.189617639936586,81.0382360063414
DRO,408,323.42,DYPA,B,TE,5,2018-06-06,2021-06-08,0,0,1,1,1,0,NA,0,1,0,172.3,5,0.32,157.05,2A,5.51,0,0,8.92,144.25,78.96,2.8,0,0,T,0.537652108357073,0,WET,36,1098,DRO.DYPA.B,0.54738301559792,173.887444884845,85.9665025996534,87.9209422851912,0.505619841291107,49.4380158708893
DRO,409,335.5,DYPA,E,TI,6,2018-06-06,2021-12-07,0,0,1,1,1,NA,NA,0,4,0,159.16,5,0.32,70.75,3,31.58,0,0,1.838,64.32,29.394,13.344,NA,NA,NA,0.537652108357073,0,DRY,42,1280,DRO.DYPA.E,0.456996268656716,180.382282353798,32.3324860074627,148.049796346335,0.820755755024507,17.9244244975493
DRO,410,327.23,DYPA,E,TE,5,2018-06-06,2021-06-08,1,0,1,1,1,0,NA,0,1,0,211.8,5,0.31,190.4,2A,10.96,0,0,6.09,184.04,72.02,3.18,0,0,F,0.537652108357073,0,WET,36,1098,DRO.DYPA.E,0.391327972179961,175.935899417685,74.5088459030646,101.427053514621,0.57650004263101,42.349995736899
DRO,411,341.33,DYPA,C,TI,6,2018-06-06,2021-12-07,1,0,1,1,1,NA,NA,0,2,0,186.02,5,0.32,121.35,2A,9.01,0,0,6.1732,113.9,76.364,5.364,NA,NA,NA,0.537652108357073,0,DRY,42,1280,DRO.DYPA.C,0.67044776119403,183.51679414552,81.3588358208955,102.157958324624,0.556668171980042,44.3331828019958
DRO,412,354.74,DYPA,C,TE,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,285.42,1,0,NA,NA,3.28,280.15,142.18,NA,NA,NA,NA,0.537652108357073,0,WET,12,378,DRO.DYPA.C,0.507513831875781,190.726708918588,144.854597893985,45.8721110246028,0.24051225591159,75.948774408841
DRO,413,387.35,DYPA,D,TI,5,2018-06-06,2021-06-08,1,0,1,1,1,0,NA,0,1,0,224.81,5,0.37,202.61,2,10.92,0,0,5.06,197.25,117.56,5.47,0,0,F,0.537652108357073,0,WET,36,1098,DRO.DYPA.D,0.595994930291508,208.259544172112,120.754532826363,87.5050113457498,0.420172874638739,57.9827125361261
DRO,414,375.03,DYPA,D,TE,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,249.68,2,0.27,NA,NA,4.8,239.69,160.07,0.25,NA,NA,NA,0.537652108357073,0,WET,12,378,DRO.DYPA.D,0.667820935374859,201.635670197153,166.741531144395,34.8941390527583,0.173055387564313,82.6944612435687
DRO,415,394.94,DYPA,A,TI,2,2018-06-06,2019-12-02,0,0,1,NA,1,NA,NA,NA,NA,NA,207.14,5,0.37,195.66,2,2.24,NA,NA,3.28,191.98,163.32,2.07,NA,NA,NA,0.537652108357073,0,DRY,18,544,DRO.DYPA.A,0.850713616001667,212.340323674543,166.450626106886,45.8896975676564,0.216113909847817,78.3886090152183
DRO,416,331.58,DYPA,A,TE,6,2018-06-06,2021-12-06,1,0,1,1,1,NA,NA,0,4,0,189.42,5,0.3,130.17,3,44.3,0,0,12.0927,78.7,26.164,10.134,NA,NA,NA,0.537652108357073,0,DRY,42,1279,DRO.DYPA.A,0.332452350698856,178.274686089038,43.2753224904701,134.999363598568,0.757254810316387,24.2745189683613
DRO,417,416.49,DYPA,B,TI,6,2018-06-06,2021-12-06,1,1,1,1,1,NA,NA,1,1,0,203.6,5,0.38,167.36,2,5.45,0,0,3.835,160.56,121.554,3.584,NA,NA,NA,0.537652108357073,1,DRY,42,1279,DRO.DYPA.B,0.757062780269058,223.926726609637,126.70202690583,97.2246997038078,0.434180864320389,56.5819135679611
DRO,418,422.7,DYPA,B,TE,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,246.67,1,0,NA,NA,4.5,238.17,174,NA,NA,NA,NA,0.537652108357073,0,WET,12,378,DRO.DYPA.B,0.730570600831339,227.265546202535,180.209850107066,47.0556960954685,0.20705160496934,79.294839503066
DRO,419,399.96,DYPA,E,TI,5,2018-06-06,2021-06-08,0,1,1,1,1,0,NA,4,4,0,117.48,5,0.3,93.65,4,16.01,0,0,8.49,81.15,20.16,3.92,0,0,F,0.537652108357073,1,WET,36,1098,DRO.DYPA.E,0.248428835489834,215.039337258495,23.2653604436229,191.773976814872,0.891808816283432,10.8191183716568
DRO,420,395.43,DYPA,E,TE,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,242.9,1,0,NA,NA,4.04,235.88,158.15,NA,NA,NA,NA,0.537652108357073,0,WET,12,378,DRO.DYPA.E,0.670468034593861,212.603773207637,162.856685602849,49.7470876047886,0.233989674097663,76.6010325902337
DRO,421,392.27,DYPA,C,TI,2,2018-06-06,2019-12-03,0,0,1,NA,1,NA,NA,NA,NA,NA,160.86,5,0.28,178.14,2,10.22,NA,NA,5.7,171.34,103.08,9.1,NA,NA,NA,0.537652108357073,0,DRY,18,545,DRO.DYPA.C,0.601610832263336,210.904792545229,107.170953659391,103.733838885838,0.491851501494886,50.8148498505114
DRO,422,372.86,DYPA,C,TE,2,2018-06-06,2019-12-02,0,0,1,NA,1,NA,NA,NA,NA,NA,160.45,5,0.33,168.76,2,5.07,NA,NA,4.63,162.24,127.39,4.56,NA,NA,NA,0.537652108357073,0,DRY,18,544,DRO.DYPA.C,0.785194773175542,200.468965122018,132.509469921105,67.9594952009138,0.339002574086963,66.0997425913037
DRO,423,414.76,DYPA,D,TI,1,2018-06-06,2019-06-19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,161.07,1,0,NA,NA,2.41,157.2,108.69,12.59,NA,NA,NA,0.537652108357073,1,WET,12,378,DRO.DYPA.D,0.691412213740458,222.99658846218,111.365765267176,111.630823195004,0.500594309378579,49.9405690621421
DRO,424,457.03,DYPA,D,TE,2,2018-06-06,2019-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,220.56,2,0,NA,NA,3.27,175.55,141.76,NA,NA,NA,NA,0.537652108357073,0,DRY,18,547,DRO.DYPA.D,0.80751922529194,245.723143082433,178.10644033039,67.616702752043,0.275174336059015,72.4825663940985
DRO,425,443.88,DYPA,A,TI,5,2018-06-06,2021-06-08,1,0,1,1,1,0,NA,0,1,0,260.63,5,0.41,210.01,2,2.18,0,0,8.86,202.92,137.45,1.99,0,0,F,0.537652108357073,0,WET,36,1098,DRO.DYPA.A,0.67736053617189,238.653017857538,142.252486201459,96.400531656079,0.403935942321185,59.6064057678815
DRO,426,457.43,DYPA,A,TE,5,2018-06-06,2021-06-08,0,0,1,1,1,0,NA,0,1,0,263.82,5,0.43,225.13,2,12.87,0,0,7.56,216.48,144.64,7.1,0,0,F,0.537652108357073,0,WET,36,1098,DRO.DYPA.A,0.668144863266814,245.938203925776,150.419453067258,95.5187508585181,0.388385168850569,61.1614831149431
DRO,427,457.5,DYPA,B,TI,2,2018-06-06,2019-12-03,0,1,1,NA,0,NA,NA,NA,NA,NA,135.52,5,0.35,160.55,2,2.83,NA,NA,4.59,153.98,103.49,2.61,NA,NA,NA,0.537652108357073,1,DRY,18,545,DRO.DYPA.B,0.672100272762696,245.975839573361,107.905698792051,138.07014078131,0.56131586346362,43.868413653638
DRO,428,450.69,DYPA,B,TE,6,2018-06-06,2021-12-06,0,0,1,1,1,NA,NA,0,2,0,133.86,5,0.48,86.32,3,9.41,0,0,2.9482,81.52,43.654,3.084,NA,NA,NA,0.537652108357073,0,DRY,42,1279,DRO.DYPA.B,0.535500490677135,242.314428715449,46.2244023552503,196.090026360199,0.809237928586037,19.0762071413963
