site,block,season_condition,termite_treatment_abbreviation,harvest,SampleID,init_dry_wt,deployment_date,harvest_date,insect_present,termite_present,fungi_present,soil_present,root_present,fire_present_2021,fire_present_2019,Termite_Class,Fungi_Class,Fire_Class,Field_fresh_wt,Collar,fresh_volume,Lab_As.,FW_Wood,FW_Excess,FW_Carton,FW_Soil,Sawdust_FW,Post_drill_FW,DW_Wood,DW_Excess,DW_Carton,DW_Soil,damage_bag,harvest_dry_wt,Species.Code,date_diff,pct.mass.rem,pro.mass.loss,termite.attack,months,station,mass.loss,dry.wet
DRO,A,DRY,TI,1,1,167.3422,2018-06-11,2018-12-11,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.431,NA,NA,NA,NA,NA,NA,NA,164.58,NA,NA,NA,NA,164.58,PIRA,183,98.3493703321697,0.0165062966783034,0,6,DRO.PIRA.A,2.76219999999998,NA
DRO,A,DRY,TE,1,2,176.6865,2018-06-11,2018-12-11,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.428,NA,NA,NA,NA,NA,NA,NA,173.12,NA,NA,NA,NA,173.12,PIRA,183,97.9814530255566,0.0201854697444344,0,6,DRO.PIRA.A,3.56649999999999,NA
DRO,B,DRY,TI,1,17,190.8715,2018-06-11,2018-12-11,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.427,NA,NA,NA,NA,NA,NA,NA,185.3,NA,NA,NA,NA,185.3,PIRA,183,97.0810204771273,0.0291897952287272,0,6,DRO.PIRA.B,5.57149999999999,NA
DRO,B,DRY,TE,1,18,165.3849,2018-06-11,2018-12-11,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.445,NA,NA,NA,NA,NA,NA,NA,163.04,NA,NA,NA,NA,163.04,PIRA,183,98.5821559283828,0.0141784407161717,0,6,DRO.PIRA.B,2.3449,NA
DRO,C,DRY,TI,1,33,196.3499,2018-06-11,2018-12-11,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0.442,NA,NA,NA,NA,NA,NA,NA,192.44,NA,NA,NA,1,192.44,PIRA,183,98.0087079239664,0.0199129207603365,0,6,DRO.PIRA.C,3.90989999999999,NA
DRO,C,DRY,TE,1,34,176.3873,2018-06-11,2018-12-11,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.431,NA,NA,NA,NA,NA,NA,NA,165.3,NA,NA,NA,NA,165.3,PIRA,183,93.7142299927489,0.0628577000725109,0,6,DRO.PIRA.C,11.0873,NA
DRO,D,DRY,TI,1,49,158.8542,2018-06-11,2018-12-11,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.427,NA,NA,NA,NA,NA,NA,NA,154.55,NA,NA,NA,NA,154.55,PIRA,183,97.290471388229,0.0270952861177104,0,6,DRO.PIRA.D,4.30419999999998,NA
DRO,D,DRY,TE,1,50,169.8946,2018-06-11,2018-12-11,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.447,NA,NA,NA,NA,NA,NA,NA,165.7,NA,NA,NA,NA,165.7,PIRA,183,97.5310574909385,0.0246894250906149,0,6,DRO.PIRA.D,4.19460000000001,NA
DRO,E,DRY,TI,1,65,168.6693,2018-06-11,2018-12-11,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,0.437,NA,NA,NA,NA,NA,NA,NA,164.34,NA,NA,NA,NA,164.34,PIRA,183,97.4332614174601,0.0256673858253991,0,6,DRO.PIRA.E,4.32929999999999,NA
DRO,E,DRY,TE,1,66,159.8291,2018-06-11,2018-12-11,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.436,NA,NA,NA,NA,NA,NA,NA,157.01,NA,NA,NA,NA,157.01,PIRA,183,98.2361785181797,0.0176382148182027,0,6,DRO.PIRA.E,2.81910000000002,NA
MLRF,K,DRY,TI,1,81,190.2104,2018-06-04,2018-12-13,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.439,NA,NA,NA,NA,NA,NA,NA,185.71,NA,NA,NA,NA,185.71,PIRA,192,97.6339884675076,0.0236601153249244,0,6,MLRF.PIRA.K,4.50039999999998,NA
MLRF,K,DRY,TE,1,82,159.5138,2018-06-04,2018-12-13,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.424,NA,NA,NA,NA,NA,NA,NA,156.44,NA,NA,NA,NA,156.44,PIRA,192,98.0730193876643,0.0192698061233574,0,6,MLRF.PIRA.K,3.07380000000001,NA
MLRF,L,DRY,TI,1,97,181.8406,2018-06-04,2018-12-13,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.443,NA,NA,NA,NA,NA,NA,NA,177.29,NA,NA,NA,NA,177.29,PIRA,192,97.4974785608934,0.0250252143910656,0,6,MLRF.PIRA.L,4.5506,NA
MLRF,L,DRY,TE,1,98,197.6381,2018-06-04,2018-12-13,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.449,NA,NA,NA,NA,NA,NA,NA,195.03,NA,NA,NA,NA,195.03,PIRA,192,98.6803657796751,0.0131963422032493,0,6,MLRF.PIRA.L,2.60810000000001,NA
MLRF,M,DRY,TI,1,113,176.969,2018-06-04,2018-12-13,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.446,NA,NA,NA,NA,NA,NA,NA,172.39,NA,NA,NA,NA,172.39,PIRA,192,97.4125411795286,0.0258745882047138,0,6,MLRF.PIRA.M,4.57900000000001,NA
MLRF,M,DRY,TE,1,114,192.1986,2018-06-04,2018-12-13,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.446,NA,NA,NA,NA,NA,NA,NA,187.63,NA,NA,NA,NA,187.63,PIRA,192,97.622979563847,0.0237702043615302,0,6,MLRF.PIRA.M,4.5686,NA
MLRF,N,DRY,TI,1,129,185.8605,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.439,NA,NA,NA,NA,NA,NA,NA,181.53,NA,NA,NA,NA,181.53,PIRA,192,97.6700267135836,0.0232997328641643,0,6,MLRF.PIRA.N,4.3305,NA
MLRF,N,DRY,TE,1,130,173.1192,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.442,NA,NA,NA,NA,NA,NA,NA,169.03,NA,NA,NA,NA,169.03,PIRA,192,97.6379280865438,0.0236207191345617,0,6,MLRF.PIRA.N,4.08920000000001,NA
MLRF,O,DRY,TI,1,145,166.9055,2018-06-04,2018-12-13,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA,163.93,NA,NA,NA,NA,163.93,PIRA,192,98.2172546740521,0.0178274532594791,0,6,MLRF.PIRA.O,2.97549999999998,NA
MLRF,O,DRY,TE,1,146,166.2866,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.428,NA,NA,NA,NA,NA,NA,NA,162.51,NA,NA,NA,NA,162.51,PIRA,192,97.7288608943836,0.0227113910561644,0,6,MLRF.PIRA.O,3.7766,NA
PNW,U,DRY,TI,1,161,167.691,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.41,NA,0.368,NA,NA,NA,NA,NA,NA,NA,146.77,NA,NA,NA,NA,146.77,PIRA,381,87.524077022619,0.12475922977381,1,6,PNW.PIRA.U,20.921,NA
PNW,U,DRY,TE,1,162,165.4081,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.5,NA,0.413,NA,NA,NA,NA,NA,NA,NA,156.55,NA,NA,NA,NA,156.55,PIRA,381,94.6446999874855,0.0535530001251449,0,6,PNW.PIRA.U,8.85809999999998,NA
PNW,V,DRY,TI,1,177,158.2193,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.98,NA,0.402,NA,NA,NA,NA,NA,NA,NA,155.37,NA,NA,NA,NA,155.37,PIRA,381,98.1991451106154,0.0180085488938455,0,6,PNW.PIRA.V,2.8493,NA
PNW,V,DRY,TE,1,178,169.7267,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.55,NA,0.408,NA,NA,NA,NA,NA,NA,NA,164.96,NA,NA,NA,NA,164.96,PIRA,381,97.1915438172073,0.0280845618279268,0,6,PNW.PIRA.V,4.76669999999999,NA
PNW,W,DRY,TI,1,193,190.6782,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.5,NA,0.395,NA,NA,NA,NA,NA,NA,NA,185.28,NA,NA,NA,NA,185.28,PIRA,381,97.1689474727578,0.0283105252724224,0,6,PNW.PIRA.W,5.3982,NA
PNW,W,DRY,TE,1,194,174.772,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.95,NA,0.407,NA,NA,NA,NA,NA,NA,NA,171.7,NA,NA,NA,NA,171.7,PIRA,381,98.2422813723022,0.017577186276978,0,6,PNW.PIRA.W,3.072,NA
PNW,X,DRY,TI,1,209,158.4012,2018-06-05,2019-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.18,NA,0.414,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,155,PIRA,545,97.8527940444896,0.0214720595551043,0,6,PNW.PIRA.X,3.40119999999999,NA
PNW,X,DRY,TE,1,210,166.3766,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.37,NA,0.405,NA,NA,NA,NA,NA,NA,NA,162.7,NA,NA,NA,NA,162.7,PIRA,381,97.7901940537311,0.0220980594626891,0,6,PNW.PIRA.X,3.67660000000001,NA
PNW,Y,DRY,TI,1,225,168.5684,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.01,NA,0.39,NA,NA,NA,NA,NA,NA,NA,161.75,NA,NA,NA,NA,161.75,PIRA,381,95.9551137698406,0.0404488623015939,1,6,PNW.PIRA.Y,6.8184,NA
PNW,Y,DRY,TE,1,226,162.4046,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.82,NA,0.412,NA,NA,NA,NA,NA,NA,NA,152.27,NA,NA,NA,NA,152.27,PIRA,381,93.7596595170334,0.062403404829666,0,6,PNW.PIRA.Y,10.1346,NA
MLES,F,DRY,TI,1,241,175.6243,2018-06-04,2018-12-13,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.435,NA,NA,NA,NA,NA,NA,NA,172.54,NA,NA,NA,NA,172.54,PIRA,192,98.2438079468502,0.0175619205314982,0,6,MLES.PIRA.F,3.08430000000001,NA
MLES,F,DRY,TE,1,242,185.8916,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.426,NA,NA,NA,NA,NA,NA,NA,183.5,NA,NA,NA,NA,183.5,PIRA,192,98.7134437489376,0.0128655625106245,0,6,MLES.PIRA.F,2.39160000000001,NA
